id,name,language,original_language,first_air_date,overview,popularity,episode_count,season_count
66046,Mystery Music Show: King of Mask Singer,Korean,ko,2015-04-05,"Competitors are given elaborate masks to wear in order to conceal their identity, thus removing factors such as popularity, career and age that could lead to prejudiced voting. In the first round, a pair of competitors sing the same song, while in the second and third rounds they each sing a solo song. After the First Generation, the winner of the Third Round goes on to challenge the Mask King, and is either eliminated or replaces the previous Mask King through live voting. The identities of the singers are not revealed unless they have been eliminated.",174.5353,492,2
83319,BANGTAN BOMB,Korean,ko,2013-06-19,Bangtan Bomb are short videos of BTS released on their YouTube channel.,170.6373,833,12
244984,Idol Radio,Korean,ko,2018-07-23,A South Korean radio show created by MBC Radio specially for idols.,154.1448,1066,5
39429,You Hee-yeol's Sketchbook,Korean,ko,2009-04-24,"You Hee-yeol's Sketchbook is a Korean pop music program that is both a talk show and live music show. The host of this program is You Hee-yeol, also known as Toy, a one-man project band. This program has aired since April 24, 2009.",153.033,600,1
65270,Radio Star,Korean,ko,2007-05-30,"“Radio Star” is a South Korean music talk show where the guests and hosts talk openly and intimately about their lives, their pasts and their work. It is part of Munhwa Broadcasting Corporation's ""Golden Fishery"" programming block.",139.778,904,2
7677,We Got Married,Korean,ko,2008-03-16,"We Got Married is a South Korean reality variety show, one segment of the Sunday Sunday Night program. First broadcast in 2008, the show pairs up Korean celebrities to show what life would be like if they were married. Each week, couples are assigned missions to complete, with candid interviews of the participants to reveal their thoughts and feelings.",122.4763,444,5
65282,Home Alone,Korean,ko,2013-03-22,"It can be a badge of honor to be “single.” “I Live Alone” is a documentary-style South Korean reality series that follows the members of a self-formed club called Rainbow, which is comprised of  celebrities who are single and live alone.",115.614,617,2
77290,Comedy Big League,Korean,ko,2011-09-17,,109.6638,551,5
219246,When Life Gives You Tangerines,Korean,ko,2025-03-07,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",108.9883,16,1
52823,Weekly Idol,Korean,ko,2011-07-23,"Weekly Idol is back with all new hosts. Cho Sae Ho, Hwang Kwang Hee and Nam Chang Hee are sticking together as a new unit group for Weekly Idol, a.k.a CKN Trio, to turn the idol world upside down! Get ready for their hot debut! Cho Sae Ho transforms himself into an idol expert. The hottest entertainer in the show business is marching into the idol world after taking over variety shows and he's more than ready to dominate the show with his amazing look and talents. They say idols understand each other best! As soon as being discharged from military service, Hwang Kwang Hee is reenlisted in Weekly Idol as a senior and a mentor to cheer his fellow idol friends. And lastly, the hidden card of the trio, Nam Chang Hee joins Weekly Idol. With his irresistible charms and talents, Nam Chang Hee becomes the irreplaceable member of Weekly Idol and shows off his amazing chemistry with idols.",108.9402,638,4
65278,Inkigayo,Korean,ko,2000-02-01,"The program is a weekly music show that features and introduces viewers to the most popular artists in Korea. Every week, they ask viewers to vote and select the most popular song of the week.",107.6854,1547,2
64356,The Return of Superman,Korean,ko,2013-11-03,"An up-close look at celebrity dads who have to take care of their kids for the next 48 hours without any help. Will it be a dad-tastrophe, or can they finish their wives' to-do lists while having fun with their kids?",98.8219,985,13
30801,2 Days and 1 Night,Korean,ko,2007-08-05,"2 Days & 1 Night is a South Korean reality-variety show with the motto ""real wild road variety."" Its main concept is to recommend various places of interest that viewers can visit in South Korea.",94.836,893,5
18495,Nonstop,Korean,ko,2000-05-15,"Nonstop is a South Korean slice-of-life sitcom that broadcast its first season in 2000 on MBC. It continued with 5 more seasons. The series was popular for its cast of teen idols, many who debuted through the show..",92.8324,1324,7
33238,Running Man,Korean,ko,2010-07-11,A reality and competition show where members are joined by celebs to complete a weekly mission to win the race with Seoul as the beautiful backdrop.,92.0974,755,1
52910,Law of the Jungle,Korean,ko,2011-10-21,"Law of the Jungle is a hybrid reality show combining elements of drama and documentary. The show is hosted by comedian Kim Byung Man, and each episode invites various celebrities from the various field. So far, many of idol stars and famous actors have appeared on the show. The show introduces viewers to exotic locations around the world where celebrities must work together in order to complete missions and survive. The cast celebrities travel to less habituated, natural places to survive on their own and experience life with local tribes and people. In each location, the guests are tasked to hunt and prepare their meals and also create shelter for the tribe. They sometimes confronted by many difficult challenges. Where will the tribe visit? And how will they survive on their own? Stay tuned to check out!",89.4936,879,58
60006,Hello Counselor,Korean,ko,2010-11-22,"A talk show with an emphasis on regular people, regardless of age or gender, that aims to help take down communication barriers by sharing stories about life.",88.6144,431,1
63942,The Delicious Guys,Korean,ko,2015-01-30,Four comedians who are famous for their love of food visit restaurants all over Korea to try the popular menus.,81.2516,514,3
70672,Men on a Mission,Korean,ko,2015-12-05,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",80.8326,480,1
64369,TV Animal Farm,Korean,ko,2001-05-06,,79.9952,1213,1
85338,Movie Room,Korean,ko,2018-05-04,Movie meets humanities! This talk show/variety show for movie enthusiasts features interesting discussions by a writer and two movie directors where film and humanities intertwine.,78.1932,219,4
81978,You Quiz On The Block,Korean,ko,2018-08-29,"Yoo Jae-suk and Jo Se-ho who enter ordinary people's everyday lives, chat with them, and give them surprise quizzes! The talk and quiz show program will spotlight these people's lives and aims to gift them a refreshing, different kind of day. Recently they're also inviting celebrities & professionals to the show.",77.8637,297,5
93405,Squid Game,Korean,ko,2021-09-17,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",75.6214,22,3
69438,Ordinary Love,Korean,ko,2012-02-29,"""Ordinary Love"" is about a psychiatrist who treats patients, while having many problems himself. He meets a woman who teaches him that love does not have to be complicated.",69.1689,4,1
73036,Please Take Care of My Refrigerator,Korean,ko,2014-11-17,The best chefs of Korea compete to create impromptu dishes that feature ingredients found inside the guest stars' personal refrigerators.,69.1031,276,3
62915,Hometown Over the Hill,Korean,ko,2007-10-24,"By depicting the dreams of people living in farming villages, this drama also reveals problems that today’s residents of rural areas face, such as a growing number of biracial children from international marriages and the cutthroat competition to survive.",64.9947,336,2
82833,The Brainiacs,Korean,ko,2015-02-26,"Traditionally, the cast is given clues to guess the identity of the episode's guests, and once the guests appear and are introduced, they and the cast are given a set of puzzles to solve.",64.4995,224,3
78648,Amazing Saturday,Korean,ko,2018-04-07,"A group of hungry celebrities listen to poppin’ tunes, from recent hits to all-time-favorites, to correctly dictate a part of the lyrics.

The songs may sound familiar, but the part they must dictate are unclear to the naked ear, as the lyrics are slurred, muffled by strong beats, etc.

If they get the lyrics right, they get to share exquisite regional dishes. But if they get them wrong, a professional eater gobbles it up instead.",64.3949,344,2
86542,Rude Miss Young Ae,Korean,ko,2007-04-20,"The seventeenth season of the realistic drama about the thrills and sadness of working women in their 30s, centered around a single woman named Lee Young-ae.",62.7534,301,17
52880,Scarlet Letter,Korean,ko,2010-08-09,,60.7169,165,1
35024,Show! Music Core,Korean,ko,2005-10-29,"Show! Music Core is a music show that has been aired since 2005. Not like any other music shows, this show doesn't include any charts or awards. There are a few segments such as This Week's Hot 3, Chart Up Core and Core of Rising Stars.",58.5835,882,1
80736,The Manager,Korean,ko,2018-03-10,"We will get involved in every little detail of the stars’ lives. The managers who work closely with the stars reveal their mundane lives. Once the information is all revealed, the professional meddlers from various different fields are invited to make comments regarding even the smallest details. Lee Yeong Ja, Jun Hyun Moo, Song Eun I, Kim Saeng Min, Yang Se Hyeong and Yoo Byung Jae participate as the life meddlers along with the professionals.",57.7178,342,2
94083,"Beautiful Love, Wonderful Life",Korean,ko,2019-09-28,"Follow four people as they seek love and happiness: Kim Seol-A who once worked as an announcer and is now married to CEO Do Jin-Woo; Moon Tae-Rang, a chef and the oldest brother from a family of adoptees; and Moon Hae-Rang, Moon Tae-Rang's younger sister, who works as a secretary for Do Jin-Woo.",57.1606,100,1
72896,My Little Old Boy,Korean,ko,2016-08-26,"How much do you know about your grown up son? In Mom’s Diary, the daily lives of the grown up celebrity sons are closely observed by their mothers. Do you know why your son drinks so much these days? How much do you know about your son’s philosophy in his life style? Heart-warming moments of observational communication between a mother and a son can be seen on Mom’s Diary.",50.6536,441,2
90631,Spotlight,Korean,ko,2015-05-31,,50.6066,227,1
5092,Infinite Challenge,Korean,ko,2005-04-23,"Infinite Challenge has been reported as the first ""Real-Variety"" show in Korean television history. The program is largely unscripted, and follows a similar format of challenge-based Reality Television programs, familiar to the audiences in the West, but the challenges are often silly, absurd, or impossible to achieve, so the program takes on the aspect of a satirical comedy variety show, rather than a more standard reality or contest program. In order to achieve its comedic purposes its 6 hosts and staff continuously proclaim, the elements of this show are the 3-Ds, Dirty, Dangerous, and Difficult.",49.6055,646,4
24633,Story of a Mermaid,Korean,ko,2002-06-24,《인어 아가씨》는 MBC에서 2002년 6월 24일부터 2003년 6월 27일까지 246부작으로 방영되었던 드라마이다.,49.5898,246,1
128854,사랑은 이런거야,Korean,ko,2001-10-29,It is a drama that gets the sympathy of an unspecified number of people and satisfies their needs.,49.3171,172,1
105194,Three Guys and Three Girls,Korean,ko,1996-10-21,It looks like we don't have any synopsis for this title yet. Be the first to contribute.,47.3192,625,1
64300,Ugly Alert,Korean,ko,2013-05-20,"Gong Joon-soo is a man who's had a rough life and early on had to fend for himself. He takes the blame for a murder his younger sibling commits and serves time in prison. There he learns to sew and acquires a trade. With his newly acquired skills, Joon-soo goes to work for Na Do-hee at a fashion company. Do-hee has inherited her job because her grandfather built the company. But even though she inherited her position, she is serious about doing a good job and is something of a workaholic.",46.9007,133,1
84547,Mr. House Husband,Korean,ko,2016-11-08,"Mr. House Husband is a South Korean television entertainment program, where six men who do housekeeping and parenting are observed by their fellow cast members. For season 2, the format changed and the cast members' recordings were observed and narrated by two hosts.",46.3971,280,2
214252,All My Love For You,Korean,ko,2010-11-08,"The story of the relationship between two families, based on the traditional Korean Cinderella folktale about Kongji and Patji. The Kongji family is poor but kind, while the Patji family is rich but selfish.",45.5302,210,1
76847,The Fishermen and the City,Korean,ko,2017-09-07,"Always in pursuit of the next epic catch, two fishing enthusiasts set sail with like-minded celebrity guests while trading tales, tips and recipes.",45.2468,203,6
71963,Let's Eat Dinner Together,Korean,ko,2016-10-19,"As more and more people are getting used to eating dinner alone, Kang Ho-dong and Lee Kyung-kyu visit ordinary Korean families at dinner time and share their lives as they eat dinner together.",45.2206,164,1
71026,Super Wings,Korean,ko,2014-09-01,"An action-packed preschool series about an adorable jet plane named Jett who travels the world delivering packages to children. On every delivery, Jett encounters a new problem that the he and his friends the Super Wings must work together to solve!",44.9345,504,17
78376,"Same Bed, Different Dreams",Korean,ko,2015-04-25,"Same Bed, Different Dreams is a South Korean television entertainment program, distributed and syndicated by SBS every Monday at 11:10 pm. Before February 15, 2016 the program was aired every Saturday at 8:45 pm. It's a program where teens and their parents come and openly share their issues with the show’s panel, trying to resolve their problems with each other. Same Bed, Different Dreams 2 - You Are My Destiny is a South Korean television entertainment program, distributed and syndicated by SBS. It's the second season of the show Same Bed, Different Dreams which underwent a format change, now focusing on the life of celebrity couples.",44.5211,256,2
